시도코드,시도,시군구코드,시군구,읍면동,읍면동수정,ID,CD,선거인수,투표수,더불어민주당 이재명,국민의힘 윤석열,정의당 심상정,기본소득당 오준호,국가혁명당 허경영,노동당 이백윤,새누리당 옥은호,신자유민주연합 김경재,우리공화당 조원진,진보당 김재연,통일한국당 이경희,한류연합당 김민찬,계,무효 투표수,기권수,,,,,,,,,,,,,std,민주,국힘,정의,기본소득,국가혁명,노동,새누리,신자유,우리공화,진보,통일한국,한류연합,3위
1100,서울특별시,1101,종로구,가회동,가회동,서울특별시_종로구_가회동,1101060,3454,2650,1252,1243,104,2,10,1,0,2,2,4,1,2,2623,27,804,47.73160503,47.38848647,3.964925658,0.07624857,0.381242852,0.038124285,0,0.07624857,0.07624857,0.152497141,0.038124285,0.07624857,17.57497471,1,2,3,6,4,10,12,6,6,5,10,6,정의
1100,서울특별시,1101,종로구,교남동,교남동,서울특별시_종로구_교남동,1101058,7795,6215,2621,3276,193,3,28,1,0,2,9,11,2,1,6147,68,1580,42.63868554,53.2942899,3.139742964,0.048804295,0.455506751,0.016268098,0,0.032536197,0.146412884,0.178949081,0.032536197,0.016268098,17.87719559,2,1,3,7,4,10,12,8,6,5,8,10,정의
1100,서울특별시,1101,종로구,무악동,무악동,서울특별시_종로구_무악동,1101057,6143,4978,2162,2586,155,3,17,0,1,0,2,3,2,2,4933,45,1165,43.82728563,52.42246098,3.142104196,0.06081492,0.34461788,0,0.02027164,0,0.04054328,0.06081492,0.04054328,0.04054328,17.90162089,2,1,3,5,4,11,10,11,7,5,7,7,정의
1100,서울특별시,1101,종로구,부암동,부암동,서울특별시_종로구_부암동,1101055,7205,5485,2496,2731,154,0,26,4,0,4,0,4,1,2,5422,63,1720,46.03467355,50.36886758,2.840280339,0,0.47952785,0.073773515,0,0.073773515,0,0.073773515,0.018443379,0.036886758,17.86802504,2,1,3,10,4,5,10,5,10,5,9,8,정의
1100,서울특별시,1101,종로구,사직동,사직동,서울특별시_종로구_사직동,1101053,7651,5850,2260,3282,212,3,22,0,1,2,4,4,0,0,5790,60,1801,39.0328152,56.68393782,3.66148532,0.051813472,0.379965458,0,0.017271157,0.034542314,0.069084629,0.069084629,0,0,18.06668367,2,1,3,7,4,10,9,8,5,5,10,10,정의
1100,서울특별시,1101,종로구,삼청동,삼청동,서울특별시_종로구_삼청동,1101054,1935,1443,591,767,51,0,10,0,0,3,3,0,0,0,1425,18,492,41.47368421,53.8245614,3.578947368,0,0.701754386,0,0,0.210526316,0.210526316,0,0,0,17.7885884,2,1,3,7,4,7,7,5,5,7,7,7,정의
1100,서울특별시,1101,종로구,숭인제1동,숭인1동,서울특별시_종로구_숭인1동,1101070,4575,3286,1641,1489,84,1,26,1,1,2,1,1,1,0,3248,38,1289,50.52339901,45.84359606,2.586206897,0.030788177,0.800492611,0.030788177,0.030788177,0.061576355,0.030788177,0.030788177,0.030788177,0,17.86116492,1,2,3,6,4,6,6,5,6,6,6,12,정의
1100,서울특별시,1101,종로구,숭인제2동,숭인2동,서울특별시_종로구_숭인2동,1101071,7970,5605,2866,2394,185,0,49,3,1,1,9,10,2,2,5522,83,2365,51.90148497,43.3538573,3.350235422,0,0.887359652,0.054328142,0.018109381,0.018109381,0.162984426,0.181093807,0.036218761,0.036218761,17.6825357,1,2,3,12,4,7,10,10,6,5,8,8,정의
1100,서울특별시,1101,종로구,이화동,이화동,서울특별시_종로구_이화동,1101064,6154,4703,2279,2141,174,2,23,1,1,4,5,8,1,1,4640,63,1451,49.11637931,46.14224138,3.75,0.043103448,0.495689655,0.021551724,0.021551724,0.086206897,0.107758621,0.172413793,0.021551724,0.021551724,17.61285638,1,2,3,8,4,9,9,7,6,5,9,9,정의
1100,서울특별시,1101,종로구,종로1·2·3·4가동,종로1·2·3·4가,서울특별시_종로구_종로1·2·3·4가,1101061,5741,3527,1468,1911,81,2,17,0,1,1,2,4,3,0,3490,37,2214,42.06303725,54.75644699,2.320916905,0.05730659,0.487106017,0,0.028653295,0.028653295,0.05730659,0.114613181,0.085959885,0,18.11971054,2,1,3,7,4,11,9,9,7,5,6,11,정의
1100,서울특별시,1101,종로구,종로5·6가동,종로5·6가동,서울특별시_종로구_종로5·6가동,1101063,4130,2906,1305,1460,76,0,23,0,0,1,2,0,0,2,2869,37,1224,45.48623214,50.88881143,2.649006623,0,0.801673057,0,0,0.03485535,0.069710701,0,0,0.069710701,17.87224561,2,1,3,8,4,8,8,7,5,8,8,5,정의
1100,서울특별시,1101,종로구,창신제1동,창신1동,서울특별시_종로구_창신1동,1101067,5152,3907,2134,1580,90,0,37,2,1,1,6,4,2,2,3859,48,1245,55.29930034,40.94324955,2.332210417,0,0.958797616,0.051826898,0.025913449,0.025913449,0.155480694,0.103653796,0.051826898,0.051826898,18.04492492,1,2,3,12,4,7,10,10,5,6,7,7,정의
1100,서울특별시,1101,종로구,창신제2동,창신2동,서울특별시_종로구_창신2동,1101068,6071,4089,2262,1633,78,2,35,3,0,4,7,3,1,3,4031,58,1982,56.11510791,40.51103944,1.935003721,0.04961548,0.868270901,0.07442322,0,0.09923096,0.17365418,0.07442322,0.02480774,0.07442322,18.16882437,1,2,3,10,4,7,12,6,5,7,11,7,정의
1100,서울특별시,1101,종로구,창신제3동,창신3동,서울특별시_종로구_창신3동,1101069,5236,4067,2036,1848,109,1,16,1,0,4,3,3,0,0,4021,46,1169,50.6341706,45.95871674,2.710768466,0.024869435,0.397910967,0.024869435,0,0.099477742,0.074608306,0.074608306,0,0,17.91232911,1,2,3,8,4,8,10,5,6,6,10,10,정의
1100,서울특별시,1101,종로구,청운효자동,청운효자동,서울특별시_종로구_청운효자동,1101072,8706,6640,3150,3137,237,3,26,2,0,3,7,4,1,2,6572,68,2066,47.93061473,47.73280584,3.606208156,0.045648205,0.395617772,0.030432136,0,0.045648205,0.106512477,0.060864273,0.015216068,0.030432136,17.69089643,1,2,3,7,4,9,12,7,5,6,11,9,정의
1100,서울특별시,1101,종로구,평창동,평창동,서울특별시_종로구_평창동,1101056,13796,10534,3866,6248,266,5,35,7,1,6,8,11,0,2,10455,79,3262,36.97752272,59.76087996,2.544237207,0.047824008,0.334768054,0.066953611,0.009564802,0.057388809,0.076518412,0.105212817,0,0.019129603,18.51121121,2,1,3,9,4,7,11,8,6,5,12,10,정의
1100,서울특별시,1101,종로구,혜화동,혜화동,서울특별시_종로구_혜화동,1101073,12828,9743,4400,4752,364,15,47,12,0,5,9,6,1,5,9616,127,3085,45.75707155,49.41763727,3.785357737,0.155990017,0.488768719,0.124792013,0,0.051996672,0.09359401,0.062396007,0.010399334,0.051996672,17.59996458,2,1,3,5,4,6,12,9,7,8,11,9,정의
1100,서울특별시,1102,중구,광희동,광희동,서울특별시_중구_광희동,1102059,3757,2435,928,1389,65,0,13,0,0,0,1,2,1,0,2399,36,1322,38.68278449,57.89912464,2.709462276,0,0.541892455,0,0,0,0.041684035,0.08336807,0.041684035,0,18.30978421,2,1,3,8,4,8,8,8,6,5,6,8,정의
1100,서울특별시,1102,중구,다산동,다산동,서울특별시_중구_다산동,1102070,10155,7101,3350,3391,211,10,45,1,0,0,7,6,2,6,7029,72,3054,47.65969555,48.24299331,3.001849481,0.142267748,0.640204866,0.014226775,0,0,0.099587424,0.085360649,0.02845355,0.085360649,17.73641817,2,1,3,5,4,10,11,11,6,7,9,7,정의
1100,서울특별시,1102,중구,동화동,동화동,서울특별시_중구_동화동,1102073,8177,6359,2818,3280,179,4,23,0,0,0,4,0,1,4,6313,46,1818,44.63804847,51.95628069,2.835418977,0.063361318,0.364327578,0,0,0,0.063361318,0,0.015840329,0.063361318,17.95100223,2,1,3,5,4,9,9,9,5,9,8,5,정의
1100,서울특별시,1102,중구,명동,명동,서울특별시_중구_명동,1102055,2150,1515,593,860,37,1,12,0,0,1,2,0,1,0,1507,8,635,39.34970139,57.06702057,2.455209025,0.066357001,0.796284008,0,0,0.066357001,0.132714001,0,0.066357001,0,18.20806471,2,1,3,6,4,9,9,6,5,9,6,9,정의
1100,서울특별시,1102,중구,소공동,소공동,서울특별시_중구_소공동,1102052,1747,1296,489,734,50,1,6,2,0,0,0,3,1,0,1286,10,451,38.02488336,57.07620529,3.888024883,0.077760498,0.466562986,0.155520995,0,0,0,0.233281493,0.077760498,0,17.9946213,2,1,3,7,4,6,9,9,9,5,7,9,정의
1100,서울특별시,1102,중구,신당동,신당동,서울특별시_중구_신당동,1102069,7063,5048,2400,2422,124,5,37,1,1,1,2,3,2,1,4999,49,2015,48.00960192,48.44968994,2.480496099,0.100020004,0.74014803,0.020004001,0.020004001,0.020004001,0.040008002,0.060012002,0.040008002,0.020004001,17.85515818,2,1,3,5,4,9,9,9,7,6,7,9,정의
1100,서울특별시,1102,중구,신당제5동,신당5동,서울특별시_중구_신당5동,1102065,8626,6268,3043,2946,173,0,34,1,1,0,6,8,2,1,6215,53,2358,48.96218825,47.40144811,2.783588093,0,0.547063556,0.016090105,0.016090105,0,0.096540628,0.128720837,0.032180209,0.016090105,17.83941136,1,2,3,11,4,8,8,11,6,5,7,8,정의
1100,서울특별시,1102,중구,약수동,약수동,서울특별시_중구_약수동,1102071,13658,10613,4561,5623,279,4,40,4,1,3,12,5,4,4,10540,73,3045,43.27324478,53.34914611,2.647058824,0.037950664,0.379506641,0.037950664,0.009487666,0.028462998,0.113851992,0.04743833,0.037950664,0.037950664,18.01051681,2,1,3,7,4,7,12,11,5,6,7,7,정의
1100,서울특별시,1102,중구,을지로동,을지로동,서울특별시_중구_을지로동,1102060,1478,987,390,559,25,1,4,0,0,0,1,0,0,0,980,7,491,39.79591837,57.04081633,2.551020408,0.102040816,0.408163265,0,0,0,0.102040816,0,0,0,18.28189368,2,1,3,5,4,7,7,7,5,7,7,7,정의
1100,서울특별시,1102,중구,장충동,장충동,서울특별시_중구_장충동,1102058,3940,2902,1316,1437,81,2,26,0,0,1,2,2,0,1,2868,34,1038,45.88563459,50.10460251,2.824267782,0.069735007,0.906555091,0,0,0.034867503,0.069735007,0.069735007,0,0.034867503,17.77508714,2,1,3,5,4,10,10,8,5,5,10,8,정의
1100,서울특별시,1102,중구,중림동,중림동,서울특별시_중구_중림동,1102068,8899,6768,2957,3523,191,2,32,1,1,0,5,4,1,0,6717,51,2131,44.02262915,52.44900997,2.843531338,0.029775197,0.476403156,0.014887599,0.014887599,0,0.074437993,0.059550395,0.014887599,0,17.94408087,2,1,3,7,4,8,8,11,5,6,8,11,정의
1100,서울특별시,1102,중구,청구동,청구동,서울특별시_중구_청구동,1102072,10615,8150,3605,4209,202,7,34,2,2,0,6,1,1,3,8072,78,2465,44.660555,52.1432111,2.502477701,0.086719524,0.421209118,0.024777007,0.024777007,0,0.074331021,0.012388503,0.012388503,0.03716551,17.99676378,2,1,3,5,4,8,8,12,6,10,10,7,정의
1100,서울특별시,1102,중구,필동,필동,서울특별시_중구_필동,1102057,3998,3081,1396,1550,73,1,17,0,0,2,4,2,0,0,3045,36,917,45.8456486,50.90311987,2.397372742,0.032840722,0.558292282,0,0,0.065681445,0.13136289,0.065681445,0,0,17.94831428,2,1,3,8,4,9,9,6,5,6,9,9,정의
1100,서울특별시,1102,중구,황학동,황학동,서울특별시_중구_황학동,1102067,10175,7288,3380,3581,194,2,41,1,3,5,5,4,0,0,7216,72,2887,46.84035477,49.62583149,2.688470067,0.027716186,0.568181818,0.013858093,0.041574279,0.069290466,0.069290466,0.055432373,0,0,17.86750943,2,1,3,9,4,10,8,5,5,7,11,11,정의
1100,서울특별시,1102,중구,회현동,회현동,서울특별시_중구_회현동,1102054,3883,2519,965,1460,50,0,15,2,0,2,3,0,0,0,2497,22,1364,38.64637565,58.4701642,2.002402883,0,0.600720865,0.080096115,0,0.080096115,0.120144173,0,0,0,18.44669543,2,1,3,8,4,6,8,6,5,8,8,8,정의
1100,서울특별시,1103,용산구,남영동,남영동,서울특별시_용산구_남영동,1103053,6698,4404,2095,2040,142,5,44,2,1,3,4,11,1,1,4349,55,2294,48.17199356,46.90733502,3.265118418,0.114968958,1.011726834,0.045987583,0.022993792,0.068981375,0.091975167,0.252931708,0.022993792,0.022993792,17.55772482,1,2,3,6,4,9,10,8,7,5,10,10,정의
1100,서울특별시,1103,용산구,보광동,보광동,서울특별시_용산구_보광동,1103070,11688,8133,3554,4206,231,3,59,4,0,2,6,3,1,5,8074,59,3555,44.01783503,52.09313847,2.861035422,0.037156304,0.730740649,0.049541739,0,0.024770869,0.074312608,0.037156304,0.012385435,0.061927174,17.85745966,2,1,3,8,4,7,12,10,5,8,11,6,정의
1100,서울특별시,1103,용산구,서빙고동,서빙고동,서울특별시_용산구_서빙고동,1103069,9048,6715,1922,4562,131,2,41,2,0,5,2,0,0,3,6670,45,2333,28.8155922,68.3958021,1.964017991,0.029985007,0.614692654,0.029985007,0,0.074962519,0.029985007,0,0,0.044977511,19.74680632,2,1,3,7,4,7,10,5,7,10,10,6,정의
1100,서울특별시,1103,용산구,용문동,용문동,서울특별시_용산구_용문동,1103059,9790,7570,3464,3723,255,5,42,0,1,2,7,10,1,2,7512,58,2220,46.11288605,49.56070288,3.39456869,0.06656017,0.559105431,0,0.013312034,0.026624068,0.093184239,0.133120341,0.013312034,0.026624068,17.70404026,2,1,3,7,4,12,10,8,6,5,10,8,정의
1100,서울특별시,1103,용산구,용산2가동,용산2가동,서울특별시_용산구_용산2가동,1103052,7867,5534,2623,2577,211,5,42,1,1,5,7,4,0,3,5479,55,2333,47.87369958,47.03413032,3.851067713,0.091257529,0.766563241,0.018251506,0.018251506,0.091257529,0.12776054,0.073006023,0,0.054754517,17.52671177,1,2,3,6,4,10,10,6,5,8,12,9,정의
1100,서울특별시,1103,용산구,원효로제1동,원효로1동,서울특별시_용산구_원효로1동,1103072,12787,10037,4104,5443,348,4,33,3,0,3,6,5,1,4,9954,83,2750,41.22965642,54.68153506,3.496081977,0.04018485,0.331525015,0.030138638,0,0.030138638,0.060277275,0.050231063,0.010046213,0.04018485,17.95588416,2,1,3,7,4,9,12,9,5,6,11,7,정의
1100,서울특별시,1103,용산구,원효로제2동,원효로2동,서울특별시_용산구_원효로2동,1103057,10135,7789,3334,4108,230,3,40,1,4,3,2,3,1,2,7731,58,2346,43.12508084,53.13672229,2.975035571,0.038804812,0.517397491,0.012934937,0.051739749,0.038804812,0.025869875,0.038804812,0.012934937,0.025869875,17.93292578,2,1,3,6,4,11,5,6,9,6,11,9,정의
